[23:25:13] currSec: 47.100227, totSec: 250.500000, status: 1, state: 0
[23:25:14] currSec: 47.471746, totSec: 250.500000, status: 1, state: 0
[23:25:14] currSec: 47.843265, totSec: 250.500000, status: 1, state: 0
[23:25:15] currSec: 48.586304, totSec: 250.500000, status: 1, state: 0
[23:25:15] currSec: 48.957823, totSec: 250.500000, status: 1, state: 0
[23:25:16] currSec: 49.329342, totSec: 250.500000, status: 1, state: 0
[23:25:16] currSec: 50.072381, totSec: 250.500000, status: 1, state: 0
[23:25:17] currSec: 50.443900, totSec: 250.500000, status: 1, state: 0
[23:25:17] currSec: 50.815420, totSec: 250.500000, status: 1, state: 0
[23:25:18] currSec: 51.558458, totSec: 250.500000, status: 1, state: 0
[23:25:18] currSec: 51.929977, totSec: 250.500000, status: 1, state: 0
[23:25:19] currSec: 52.301497, totSec: 250.500000, status: 1, state: 0
[23:25:19] currSec: 53.044535, totSec: 250.500000, status: 1, state: 0
[23:25:20] currSec: 53.416054, totSec: 250.500000, status: 1, state: 0
[23:25:20] currSec: 53.787574, totSec: 250.500000, status: 1, state: 0
[23:25:21] currSec: 54.530612, totSec: 250.500000, status: 1, state: 0
[23:25:21] currSec: 54.902132, totSec: 250.500000, status: 1, state: 0
[23:25:22] currSec: 55.645170, totSec: 250.500000, status: 1, state: 0
[23:25:22] currSec: 56.016689, totSec: 250.500000, status: 1, state: 0
[23:25:23] currSec: 56.388209, totSec: 250.500000, status: 1, state: 0
[23:25:23] currSec: 57.131247, totSec: 250.500000, status: 1, state: 0
[23:25:24] currSec: 57.502766, totSec: 250.500000, status: 1, state: 0
[23:25:24] currSec: 57.874286, totSec: 250.500000, status: 1, state: 0
[23:25:25] currSec: 58.617324, totSec: 250.500000, status: 1, state: 0
[23:25:25] currSec: 58.988844, totSec: 250.500000, status: 1, state: 0
[23:25:26] currSec: 59.360363, totSec: 250.500000, status: 1, state: 0
[23:25:26] currSec: 60.103401, totSec: 250.500000, status: 1, state: 0
[23:25:27] currSec: 60.474921, totSec: 250.500000, status: 1, state: 0
[23:25:27] currSec: 60.846440, totSec: 250.500000, status: 1, state: 0
[23:25:28] currSec: 61.589478, totSec: 250.500000, status: 1, state: 0
[23:25:28] currSec: 61.960998, totSec: 250.500000, status: 1, state: 0
[23:25:29] currSec: 62.332517, totSec: 250.500000, status: 1, state: 0
[23:25:29] currSec: 63.075556, totSec: 250.500000, status: 1, state: 0
[23:25:30] currSec: 63.447075, totSec: 250.500000, status: 1, state: 0
[23:25:30] currSec: 63.818594, totSec: 250.500000, status: 1, state: 0
[23:25:31] currSec: 64.561633, totSec: 250.500000, status: 1, state: 0
[23:25:31] currSec: 64.933152, totSec: 250.500000, status: 1, state: 0
[23:25:32] currSec: 65.304671, totSec: 250.500000, status: 1, state: 0
[23:25:32] currSec: 66.047710, totSec: 250.500000, status: 1, state: 0
[23:25:33] currSec: 66.419229, totSec: 250.500000, status: 1, state: 0
[23:25:33] currSec: 66.790748, totSec: 250.500000, status: 1, state: 0
[23:25:34] currSec: 67.533787, totSec: 250.500000, status: 1, state: 0
[23:25:34] currSec: 67.905306, totSec: 250.500000, status: 1, state: 0
[23:25:35] currSec: 68.648345, totSec: 250.500000, status: 1, state: 0
[23:25:35] currSec: 69.019864, totSec: 250.500000, status: 1, state: 0
[23:25:36] currSec: 69.391383, totSec: 250.500000, status: 1, state: 0
[23:25:36] currSec: 70.134422, totSec: 250.500000, status: 1, state: 0
[23:25:37] currSec: 70.505941, totSec: 250.500000, status: 1, state: 0
[23:25:37] currSec: 70.877460, totSec: 250.500000, status: 1, state: 0
[23:25:38] currSec: 71.620499, totSec: 250.500000, status: 1, state: 0
[23:25:38] currSec: 71.992018, totSec: 250.500000, status: 1, state: 0
[23:25:39] currSec: 72.363537, totSec: 250.500000, status: 1, state: 0
[23:25:39] currSec: 73.106576, totSec: 250.500000, status: 1, state: 0
[23:25:40] currSec: 73.478095, totSec: 250.500000, status: 1, state: 0
[23:25:40] currSec: 73.849615, totSec: 250.500000, status: 1, state: 0
[23:25:41] currSec: 74.592653, totSec: 250.500000, status: 1, state: 0
[23:25:41] currSec: 74.964172, totSec: 250.500000, status: 1, state: 0
[23:25:42] currSec: 75.335692, totSec: 250.500000, status: 1, state: 0
[23:25:42] currSec: 76.078730, totSec: 250.500000, status: 1, state: 0
[23:25:43] currSec: 76.450249, totSec: 250.500000, status: 1, state: 0
[23:25:43] currSec: 76.821769, totSec: 250.500000, status: 1, state: 0
[23:25:44] currSec: 77.564807, totSec: 250.500000, status: 1, state: 0
[23:25:44] currSec: 77.936327, totSec: 250.500000, status: 1, state: 0
